"Date","Account","Description","Check #","Category","Credit","Debit"
"03/03/2025","CHECKING","0228VZWRLSS*APOCC 800-922-0204 FL************7304","","Utilities/Phone","","-281.62"
"03/03/2025","CHECKING","0227APPLE.COM/BILL 866-712-7753 CA************7304","","Entertainment","","-40.33"
"03/03/2025","CHECKING","0303Knoxville TVA Employees KNOXVILLE TN","","Uncategorized Expense","","-478.00"
"03/03/2025","CHECKING","EG AVENUE MARKETIAT PAYPAL2503031040623682832IAT","","Food/Groceries","","-91.16"
"03/03/2025","CHECKING","Rocket Money Premium 250303ST-R6G0S0X7Y2U3CCD","","Insurance","","-6.59"
"03/03/2025","CHECKING","PLANET FIT CLUB FEES 2503032505902479862PPD","","Personal Care","","-39.00"
"03/03/2025","CHECKING","VENMO PAYMENT 2503031040578183168WEB","","Uncategorized Expense","","-190.00"
"02/28/2025","CHECKING","PAYMENT 9100 02/28 ONE APPLE PARK001 ONE APPLE P","","Uncategorized Expense","","-3.28"
"02/28/2025","CHECKING","University HealtPR PAYMENT2502282000-000017938PPD","","Education","9368.08",""
"02/27/2025","CHECKING","0227Synchrony Bank Orlando FL","","Financial Services","","-134.00"
"02/24/2025","CHECKING","0222APPLE.COM/BILL 866-712-7753 CA************7304","","Entertainment","","-2.99"
"02/24/2025","CHECKING","0222EMF&K-LOVE 800-525-5683 CA************7304","","Contributions","","-15.00"
"02/21/2025","CHECKING","BLUECROSS BLUESHPAYROLL 25022125022168770PPD","","Healthcare - HSA Spending Account/Insurance","2997.46",""
"02/20/2025","CHECKING","0219DROPBOX*FJ9PCL DROPBOX.COM CA************7304","","Utilities/Internet","","-987.75"
"02/20/2025","CHECKING","0219ATMOS ENERGY 888-286-6700 TX************7304","","Utilities/Gas/Electric","","-85.22"
"02/19/2025","CHECKING","CHECK","2471","Uncategorized Expense","","-72.00"
"02/19/2025","CHECKING","CITY OF ALCOA BANK DRAFT250219142032002PPD","","Utilities","","-116.00"
"02/18/2025","CHECKING","0216APPLE.COM/BILL 866-712-7753 CA************7304","","Entertainment","","-2.99"
"02/18/2025","CHECKING","0216SXM*SIRIUSXM.C 888-635-5144 NY************7304","","Entertainment","","-25.29"
"02/18/2025","CHECKING","0215SUPERNATURAL GETSUPERNATURCA************7304","","Entertainment","","-10.96"
"02/18/2025","CHECKING","CHASE CREDIT CRDEPAY 2502188181630716WEB","","Transfer Between Accounts/Credit Card Payment","","-2000.00"
"02/18/2025","CHECKING","PLANET FIT CLUB FEES 2502182504506350102PPD","","Personal Care","","-10.00"
"02/18/2025","CHECKING","PLANET FIT CLUB FEES 2502182504506349445PPD","","Personal Care","","-10.00"
"02/18/2025","CHECKING","PLANET FIT CLUB FEES 2502182504506339850PPD","","Personal Care","","-23.06"
"02/18/2025","CHECKING","VENMO PAYMENT 2502181040285028595WEB","","Uncategorized Expense","","-190.00"
"02/13/2025","CHECKING","ALLY ALLY PAYMT250213670921023259WEB","","Transportation/Lease/Loan","","-849.84"
"02/12/2025","CHECKING","PAYMENT 9100 02/12 NETFLIX.COM0000 NETFLIX.COM","","Entertainment","","-25.17"
"02/11/2025","CHECKING","0210ATT*BILL PAYME 800-288-2020 TX************7304","","Utilities/TV","","-117.68"
"02/10/2025","CHECKING","0210Knoxville TVA Employees KNOXVILLE TN","","Uncategorized Expense","","-547.00"
"02/10/2025","CHECKING","Synchrony Bank CC PYMT 250210650172360661417WEB","","Financial Services","","-1757.00"
"02/10/2025","CHECKING","ELECTRICFUND BANK DRAFT250208UM393818PPD","","Utilities/Gas/Electric","","-125.96"
"02/07/2025","CHECKING","BLUECROSS BLUESHPAYROLL 25020725020768770PPD","","Healthcare - HSA Spending Account/Insurance","2997.48",""
"02/05/2025","CHECKING","0205JP Morgan Chase Bank, N. Phoenix AZ","","Uncategorized Expense","","-2333.06"
"02/05/2025","CHECKING","CHASE CREDIT CRDAUTOPAY 250205000000000279305PPD","","Transfer Between Accounts/Credit Card Payment","","-170.00"
"02/04/2025","CHECKING","CHECK","2470","Uncategorized Expense","","-425.00"
"02/04/2025","CHECKING","0203Google YouTube 650-2530000 CA************7304","","Entertainment","","-90.87"
"02/04/2025","CHECKING","MTN LAUREL ASSC INS PREM 25020411011278 DANNYPPD","","Insurance","","-133.26"
"02/03/2025","CHECKING","0203Knoxville TVA Employees KNOXVILLE TN","","Uncategorized Expense","","-478.00"
"02/03/2025","CHECKING","VENMO PAYMENT 2502031039977213428WEB","","Uncategorized Expense","","-190.00"
"01/31/2025","CHECKING","VENMO PAYMENT 2501311039966292850WEB","","Uncategorized Expense","","-87.00"
"01/31/2025","CHECKING","University HealtPR PAYMENT2501312000-000017938PPD","","Education","9368.09",""
"01/30/2025","CHECKING","0128APPLE.COM/BILL 866-712-7753 CA************7304","","Entertainment","","-40.33"
"01/30/2025","CHECKING","STATE FARM RO 27CPC-CLIENT25013011 J 1991793759PPD","","Insurance","","-385.62"
"01/28/2025","CHECKING","0128VZWRLSS*APOCC 800-922-0204 FL************7304","","Utilities/Phone","","-278.68"
"01/27/2025","CHECKING","0127Synchrony Bank Orlando FL","","Financial Services","","-134.00"
"01/27/2025","CHECKING","VENMO PAYMENT 2501271039883300600WEB","","Uncategorized Expense","","-60.00"
"01/27/2025","CHECKING","HEALTHEQUITY INCHealthEqui250127394124PPD","","Healthcare - HSA Spending Account","1400.00",""
"01/24/2025","CHECKING","BLUECROSS BLUESHPAYROLL 25012425012468770PPD","","Healthcare - HSA Spending Account/Insurance","2998.81",""
"01/23/2025","CHECKING","0122APPLE.COM/BILL 866-712-7753 CA************7304","","Entertainment","","-2.99"
"01/23/2025","CHECKING","0122EMF&K-LOVE 800-525-5683 CA************7304","","Contributions","","-15.00"
"01/22/2025","CHECKING","0121ATMOS ENERGY 888-286-6700 TX************7304","","Utilities/Gas/Electric","","-111.63"
"01/21/2025","CHECKING","MOBILE DEPOSIT","","Utilities/Phone","1105.62",""
"01/21/2025","CHECKING","VENMO PAYMENT 2501211039730291840WEB","","Uncategorized Expense","","-20.00"
"01/21/2025","CHECKING","VENMO PAYMENT 2501211039687831078WEB","","Uncategorized Expense","","-190.00"
"01/21/2025","CHECKING","PAYMENT 9100 01/18 ONE APPLE PARK001 ONE APPLE P","","Uncategorized Expense","","-5.48"
"01/21/2025","CHECKING","CITY OF ALCOA BANK DRAFT250118142032002PPD","","Utilities","","-117.00"
"01/17/2025","CHECKING","CHECK","2468","Uncategorized Expense","","-1428.00"
"01/17/2025","CHECKING","0116APPLE.COM/BILL 866-712-7753 CA************7304","","Entertainment","","-2.99"
"01/17/2025","CHECKING","0116SXM*SIRIUSXM.C 888-635-5144 NY************7304","","Entertainment","","-25.29"
"01/17/2025","CHECKING","PLANET FIT CLUB FEES 2501172501603259853PPD","","Personal Care","","-10.00"
"01/17/2025","CHECKING","PLANET FIT CLUB FEES 2501172501603259201PPD","","Personal Care","","-10.00"
"01/17/2025","CHECKING","PLANET FIT CLUB FEES 2501172501603250151PPD","","Personal Care","","-23.06"
"01/16/2025","CHECKING","0115SUPERNATURAL GETSUPERNATURCA************7304","","Entertainment","","-10.96"
"01/14/2025","CHECKING","ALLY ALLY PAYMT250114670921023259WEB","","Transportation/Lease/Loan","","-849.84"
"01/13/2025","CHECKING","0110ATT*BILL PAYME 800-288-2020 TX************7304","","Utilities/TV","","-117.68"
"01/13/2025","CHECKING","URBANOLUSE PTE. IAT PAYPAL2501131039581785826IAT","","Uncategorized Expense","","-43.67"
"01/13/2025","CHECKING","PAYMENT 9100 01/12 NETFLIX.COM0000 NETFLIX.COM","","Entertainment","","-25.17"
"01/10/2025","CHECKING","CHECK","2469","Uncategorized Expense","","-72.00"
"01/10/2025","CHECKING","0110Knoxville TVA Employees KNOXVILLE TN","","Uncategorized Expense","","-547.00"
"01/10/2025","CHECKING","PAYMENT 9100 01/10 ONE APPLE PARK001 ONE APPLE P","","Uncategorized Expense","","-3.28"
"01/10/2025","CHECKING","BLUECROSS BLUESHPAYROLL 25011025011068770PPD","","Medical","2998.83",""
"01/08/2025","CHECKING","FOREIGN ATM WITHDRAWAL FEEX","","Financial Services/ATM","","-3.00"
"01/08/2025","CHECKING","WITHDRAW CENTURY CG 9100 01/08 777 N MAIN STCPSU 777 N MAIN","","Uncategorized Expense","","-405.00"
"01/07/2025","CHECKING","VENMO PAYMENT 2501071039443680103WEB","","Uncategorized Expense","","-25.00"
"01/06/2025","CHECKING","0105APPLE.COM/BILL 866-712-7753 CA************7304","","Entertainment","","-6.57"
"01/06/2025","CHECKING","0103GOOGLE*YOUTUBE G.CO/HELPPAY#CA************7304","","Entertainment","","-79.92"
"01/06/2025","CHECKING","0106JP Morgan Chase Bank, N. Phoenix AZ","","Uncategorized Expense","","-2333.06"
"01/06/2025","CHECKING","VENMO PAYMENT 2501061039388707621WEB","","Uncategorized Expense","","-190.00"
"01/06/2025","CHECKING","ELECTRICFUND BANK DRAFT250104UM393818PPD","","Utilities/Gas/Electric","","-108.56"
"01/03/2025","CHECKING","0101APPLE.COM/BILL 866-712-7753 CA************7304","","Entertainment","","-3.28"
"01/03/2025","CHECKING","Beaver County BeaverCoun250103WEB","","Uncategorized Expense","","-17.30"
"01/03/2025","CHECKING","MTN LAUREL ASSC INS PREM 25010311011278 DANNYPPD","","Insurance","","-133.20"
"01/02/2025","CHECKING","REVERSE FOREIGN ATM SERVICE CHARGEX","","Financial Services/Fees","3.00",""
"01/02/2025","CHECKING","FOREIGN ATM WITHDRAWAL FEEX","","Financial Services/ATM","","-3.00"
"01/02/2025","CHECKING","MOBILE DEPOSIT","","Utilities/Phone","76.10",""
"01/02/2025","CHECKING","0102Knoxville TVA Employees KNOXVILLE TN","","Uncategorized Expense","","-478.00"
"01/02/2025","CHECKING","WITHDRAW CENTURY CG 9100 01/02 777 N MAIN STCPSU 777 N MAIN","","Uncategorized Expense","","-405.00"
"01/02/2025","CHECKING","CHASE CREDIT CRDEPAY 2501028070872305WEB","","Transfer Between Accounts/Credit Card Payment","","-5500.00"
"01/02/2025","CHECKING","PAYPAL INST XFER 250102GAMINGFUNDSWEB","","Uncategorized Expense","","-100.00"
"01/02/2025","CHECKING","STATE FARM RO 27CPC-CLIENT25010111 J 1991793759PPD","","Insurance","","-385.65"
"12/31/2024","CHECKING","University HealtPR PAYMENT2412312000-000017938PPD","","Education","9301.62",""
"12/30/2024","CHECKING","1228APPLE.COM/BILL 866-712-7753 CA************7304","","Entertainment","","-40.33"
"12/30/2024","CHECKING","1228VZWRLSS*APOCC 800-922-0204 FL************7304","","Utilities/Phone","","-295.47"
"12/30/2024","CHECKING","1227DNH*GODADDY#34 480-5058855 AZ************7304","","Miscellaneous","","-44.34"
"12/27/2024","CHECKING","1227Synchrony Bank Orlando FL","","Financial Services","","-134.00"
"12/27/2024","CHECKING","BLUECROSS BLUESHPAYROLL 24122724122768770PPD","","Healthcare - HSA Spending Account/Insurance","2980.24",""
"12/26/2024","CHECKING","VENMO PAYMENT 2412261039195303878WEB","","Uncategorized Expense","","-480.00"
"12/23/2024","CHECKING","1222APPLE.COM/BILL 866-712-7753 CA************7304","","Entertainment","","-2.99"
"12/23/2024","CHECKING","1222EMF&K-LOVE 800-525-5683 CA************7304","","Contributions","","-15.00"
"12/23/2024","CHECKING","VENMO PAYMENT 2412231039096288364WEB","","Uncategorized Expense","","-190.00"
"12/19/2024","CHECKING","1218ATMOS ENERGY 888-286-6700 TX************7304","","Utilities/Gas/Electric","","-77.52"
"12/19/2024","CHECKING","CITY OF ALCOA BANK DRAFT241219142032002PPD","","Utilities","","-116.00"
"12/18/2024","CHECKING","CHASE CREDIT CRDEPAY 2412188035773917WEB","","Transfer Between Accounts/Credit Card Payment","","-8000.00"
"12/17/2024","CHECKING","1216APPLE.COM/BILL 866-712-7753 CA************7304","","Entertainment","","-2.99"
"12/17/2024","CHECKING","1216SXM*SIRIUSXM.C 888-635-5144 NY************7304","","Entertainment","","-25.29"
"12/17/2024","CHECKING","PLANET FIT CLUB FEES 2412172435109008934PPD","","Personal Care","","-10.00"
"12/17/2024","CHECKING","PLANET FIT CLUB FEES 2412172435109008742PPD","","Personal Care","","-10.00"
"12/16/2024","CHECKING","1215SUPERNATURAL GETSUPERNATURCA************7304","","Entertainment","","-10.96"
"12/16/2024","CHECKING","CITI CARD ONLINEPAYMENT 241216431565240081470WEB","","Transfer Between Accounts/Credit Card Payment","","-130.73"
"12/13/2024","CHECKING","1211ATT*BILL PAYME 800-288-2020 TX************7304","","Utilities/TV","","-117.68"
"12/13/2024","CHECKING","ALLY ALLY PAYMT241213670921023259WEB","","Transportation/Lease/Loan","","-849.84"
"12/13/2024","CHECKING","BLUECROSS BLUESHPAYROLL 24121324121368770PPD","","Healthcare - HSA Spending Account/Insurance","2980.24",""
"12/12/2024","CHECKING","CHECK","2467","Uncategorized Expense","","-64.00"
"12/12/2024","CHECKING","PAYMENT 9100 12/12 NETFLIX COM001 NETFLIX COM","","Entertainment","","-25.17"
"12/10/2024","CHECKING","1210Knoxville TVA Employees KNOXVILLE TN","","Uncategorized Expense","","-547.00"
"12/09/2024","CHECKING","VENMO PAYMENT 2412091038763258907WEB","","Uncategorized Expense","","-190.00"
"12/06/2024","CHECKING","ELECTRICFUND BANK DRAFT241206UM393818PPD","","Utilities/Gas/Electric","","-107.37"
"12/05/2024","CHECKING","1203GOOGLE*YOUTUBE G.CO/HELPPAY#CA************7304","","Entertainment","","-79.92"
"12/05/2024","CHECKING","1205JP Morgan Chase Bank, N. Phoenix AZ","","Uncategorized Expense","","-2333.06"
"12/05/2024","CHECKING","CHASE CREDIT CRDAUTOPAY 241205000000000272622PPD","","Transfer Between Accounts/Credit Card Payment","","-535.00"
"12/04/2024","CHECKING","STATE FARM RO 27CPC-CLIENT24120411 J 1991793759PPD","","Insurance","","-394.08"
"12/03/2024","CHECKING","MTN LAUREL ASSC INS PREM 24120311011278 DANNYPPD","","Insurance","","-116.93"
"12/02/2024","CHECKING","1129APPLE.COM/BILL 866-712-7753 CA************7304","","Entertainment","","-14.25"
"12/02/2024","CHECKING","1128APPLE.COM/BILL 866-712-7753 CA************7304","","Entertainment","","-40.33"
"12/02/2024","CHECKING","1202Knoxville TVA Employees KNOXVILLE TN","","Uncategorized Expense","","-478.00"
"11/29/2024","CHECKING","1128VZWRLSS*APOCC 800-922-0204 FL************7304","","Utilities/Phone","","-286.68"
"11/29/2024","CHECKING","University HealtPR PAYMENT2411282000-000017938PPD","","Education","9301.63",""
"11/27/2024","CHECKING","1127Synchrony Bank Orlando FL","","Financial Services","","-134.00"
"11/27/2024","CHECKING","BLUECROSS BLUESHPAYROLL 24112724112768770PPD","","Healthcare - HSA Spending Account/Insurance","3037.03",""
"11/25/2024","CHECKING","1122APPLE.COM/BILL 866-712-7753 CA************7304","","Entertainment","","-2.99"
"11/25/2024","CHECKING","1122EMF&K-LOVE 800-525-5683 CA************7304","","Contributions","","-15.00"
"11/25/2024","CHECKING","1121APPLE.COM/BILL 866-712-7753 CA************7304","","Entertainment","","-10.96"
"11/22/2024","CHECKING","VENMO PAYMENT 2411221038398207285WEB","","Uncategorized Expense","","-190.00"
"11/20/2024","CHECKING","1119ATMOS ENERGY 888-286-6700 TX************7304","","Utilities/Gas/Electric","","-34.78"
"11/19/2024","CHECKING","CITY OF ALCOA BANK DRAFT241119142032002PPD","","Utilities","","-147.00"
"11/18/2024","CHECKING","1116SXM*SIRIUSXM.C 888-635-5144 NY************7304","","Entertainment","","-25.29"
"11/18/2024","CHECKING","1115SUPERNATURAL HTTPSGETSUPERCA************7304","","Entertainment","","-10.96"
"11/18/2024","CHECKING","PLANET FIT CLUB FEES 2411182432007496038PPD","","Personal Care","","-10.00"
"11/18/2024","CHECKING","PLANET FIT CLUB FEES 2411182432007495416PPD","","Personal Care","","-10.00"
"11/18/2024","CHECKING","PLANET FIT CLUB FEES 2411182432007484665PPD","","Personal Care","","-23.06"
"11/18/2024","CHECKING","PAYMENT 9100 11/16 ONE APPLE PARK001 ONE APPLE P","","Uncategorized Expense","","-2.99"
"11/15/2024","CHECKING","BLUECROSS BLUESHPAYROLL 24111524111568770PPD","","Healthcare - HSA Spending Account/Insurance","2980.23",""
"11/13/2024","CHECKING","MOBILE DEPOSIT","","Utilities/Phone","299.00",""
"11/13/2024","CHECKING","ALLY ALLY PAYMT241113670921023259WEB","","Transportation/Lease/Loan","","-849.84"
"11/12/2024","CHECKING","1111ATT*BILL PAYME 800-288-2020 TX************7304","","Utilities/TV","","-112.68"
"11/12/2024","CHECKING","1111DNH*GODADDY#34 480-5058855 AZ************7304","","Miscellaneous","","-335.76"
"11/12/2024","CHECKING","1107APPLE.COM/BILL 866-712-7753 CA************7304","","Entertainment","","-3.28"
"11/12/2024","CHECKING","1112Knoxville TVA Employees KNOXVILLE TN","","Uncategorized Expense","","-547.00"
"11/12/2024","CHECKING","PAYMENT 9100 11/12 NETFLIX COM001 NETFLIX COM","","Entertainment","","-25.17"
"11/08/2024","CHECKING","VENMO PAYMENT 2411081038090713685WEB","","Uncategorized Expense","","-190.00"
"11/08/2024","CHECKING","ELECTRICFUND BANK DRAFT241108UM393818PPD","","Utilities/Gas/Electric","","-143.26"
"11/05/2024","CHECKING","1105JP Morgan Chase Bank, N. Phoenix AZ","","Uncategorized Expense","","-2333.06"
"11/05/2024","CHECKING","MTN LAUREL ASSC INS PREM 24110511011278 DANNYPPD","","Insurance","","-116.92"
"11/04/2024","CHECKING","1103GOOGLE *YouTub g.co/helppay#CA************7304","","Entertainment","","-79.92"
"11/04/2024","CHECKING","CHASE CREDIT CRDEPAY 2411047925501435WEB","","Transfer Between Accounts/Credit Card Payment","","-35000.00"
"11/04/2024","CHECKING","ONLINE TRANSFER FROM CHECKING XXXXXXXXXXXX4255","","Transfer Between Accounts","3000.00",""
"11/01/2024","CHECKING","1101Knoxville TVA Employees KNOXVILLE TN","","Uncategorized Expense","","-478.00"
"11/01/2024","CHECKING","BLUECROSS BLUESHPAYROLL 24110124110168770PPD","","Healthcare - HSA Spending Account/Insurance","2980.24",""
"10/31/2024","CHECKING","University HealtPR PAYMENT2410312000-000017938PPD","","Education","9301.62",""
"10/30/2024","CHECKING","STATE FARM RO 27CPC-CLIENT24103011 J 1991793759PPD","","Insurance","","-392.97"
"10/29/2024","CHECKING","1028VZWRLSS*APOCC 800-922-0204 FL************7304","","Utilities/Phone","","-280.50"
"10/29/2024","CHECKING","PAYMENT 9100 10/28 ONE APPLE PARK001 ONE APPLE P","","Uncategorized Expense","","-40.33"
"10/28/2024","CHECKING","1028Synchrony Bank Orlando FL","","Financial Services","","-134.00"
"10/24/2024","CHECKING","1022EMF&K-LOVE 800-525-5683 CA************7304","","Contributions","","-15.00"
"10/22/2024","CHECKING","1020APPLE.COM/BILL 866-712-7753 CA************7304","","Entertainment","","-7.66"
"10/22/2024","CHECKING","PAYMENT 9100 10/22 ONE APPLE PARK001 ONE APPLE P","","Uncategorized Expense","","-2.99"
"10/21/2024","CHECKING","1020ATMOS ENERGY 888-286-6700 TX************7304","","Utilities/Gas/Electric","","-27.36"
"10/21/2024","CHECKING","CITY OF ALCOA BANK DRAFT241019142032002PPD","","Utilities","","-370.00"
"10/18/2024","CHECKING","1016APPLE.COM/BILL 866-712-7753 CA************7304","","Entertainment","","-2.99"
"10/18/2024","CHECKING","BLUECROSS BLUESHPAYROLL 24101824101868770PPD","","Medical","2980.25",""
"10/17/2024","CHECKING","1016SXM*SIRIUSXM.C 888-635-5144 NY************7304","","Entertainment","","-25.29"
"10/17/2024","CHECKING","PLANET FIT CLUB FEES 2410172429007987989PPD","","Personal Care","","-10.00"
"10/17/2024","CHECKING","PLANET FIT CLUB FEES 2410172429007987291PPD","","Personal Care","","-10.00"
"10/17/2024","CHECKING","PLANET FIT CLUB FEES 2410172429007976300PPD","","Personal Care","","-23.06"
"10/16/2024","CHECKING","1015SUPERNATURAL HTTPSGETSUPERCA************7304","","Entertainment","","-10.96"
"10/16/2024","CHECKING","1013ATT*BILL PAYME 800-288-2020 TX************7304","","Utilities/TV","","-112.68"
"10/15/2024","CHECKING","1012GOOGLE *Google 855-836-3987 CA************7304","","Entertainment","","-21.94"
"10/15/2024","CHECKING","PAYPAL INST XFER 241015DEALDASHWEB","","Uncategorized Expense","","-30.80"
"10/15/2024","CHECKING","ALLY ALLY PAYMT241015670921023259WEB","","Transportation/Lease/Loan","","-849.84"
"10/15/2024","CHECKING","PAYMENT 9100 10/15 ONE APPLE PARK001 ONE APPLE P","","Uncategorized Expense","","-5.46"
"10/15/2024","CHECKING","PAYMENT 9100 10/12 NETFLIX.COM0000 NETFLIX.COM","","Entertainment","","-25.17"
"10/10/2024","CHECKING","1010Knoxville TVA Employees KNOXVILLE TN","","Uncategorized Expense","","-547.00"
"10/09/2024","CHECKING","ELECTRICFUND BANK DRAFT241009UM393818PPD","","Utilities/Gas/Electric","","-356.86"
"10/07/2024","CHECKING","1007JP Morgan Chase Bank, N. Phoenix AZ","","Uncategorized Expense","","-2333.06"
"10/04/2024","CHECKING","1003GOOGLE *YouTub g.co/helppay#CA************7304","","Entertainment","","-79.92"
"10/04/2024","CHECKING","BLUECROSS BLUESHPAYROLL 24100424100468770PPD","","Medical","2980.24",""
"10/03/2024","CHECKING","MTN LAUREL ASSC INS PREM 24100311011278 DANNYPPD","","Insurance","","-116.92"
"10/02/2024","CHECKING","STATE FARM RO 27CPC-CLIENT24100211 J 1991793759PPD","","Insurance","","-398.96"
"10/01/2024","CHECKING","1001Knoxville TVA Employees KNOXVILLE TN","","Uncategorized Expense","","-478.00"
"09/30/2024","CHECKING","CHECK","2466","Uncategorized Expense","","-190.00"
"09/30/2024","CHECKING","0928APPLE.COM/BILL 866-712-7753 CA************7304","","Entertainment","","-40.33"
"09/30/2024","CHECKING","0928VZWRLSS*APOCC 800-922-0204 FL************7304","","Utilities/Phone","","-270.98"
"09/30/2024","CHECKING","University HealtPR PAYMENT2409282000-000017938PPD","","Education","9301.63",""
"09/27/2024","CHECKING","0927Synchrony Bank Orlando FL","","Financial Services","","-134.00"
"09/26/2024","CHECKING","CHECK","2465","Uncategorized Expense","","-1195.02"
"09/24/2024","CHECKING","0922APPLE.COM/BILL 866-712-7753 CA************7304","","Entertainment","","-2.99"
"09/23/2024","CHECKING","0922EMF&K-LOVE 800-525-5683 CA************7304","","Contributions","","-15.00"
"09/23/2024","CHECKING","0921ATMOS ENERGY 888-286-6700 TX************7304","","Utilities/Gas/Electric","","-24.63"
"09/23/2024","CHECKING","VENMO PAYMENT 2409231037104370709WEB","","Uncategorized Expense","","-524.25"
"09/23/2024","CHECKING","PAYPAL INST XFER 240923FRGTEAMFANSWEB","","Uncategorized Expense","","-165.85"
"09/20/2024","CHECKING","BLUECROSS BLUESHPAYROLL 24092024092068770PPD","","Healthcare - HSA Spending Account/Insurance","2980.24",""
"09/19/2024","CHECKING","CITY OF ALCOA BANK DRAFT240919142032002PPD","","Utilities","","-327.00"
"09/18/2024","CHECKING","CHASE CREDIT CRDEPAY 2409187815612651WEB","","Transfer Between Accounts/Credit Card Payment","","-7000.00"
"09/17/2024","CHECKING","0916SXM*SIRIUSXM.C 888-635-5144 NY************7304","","Entertainment","","-25.29"
"09/17/2024","CHECKING","PLANET FIT CLUB FEES 2409172426007756649PPD","","Personal Care","","-10.00"
"09/17/2024","CHECKING","PLANET FIT CLUB FEES 2409172426007756043PPD","","Personal Care","","-10.00"
"09/17/2024","CHECKING","PLANET FIT CLUB FEES 2409172426007744302PPD","","Personal Care","","-23.06"
"09/16/2024","CHECKING","CHECK-CASHED","2464","Uncategorized Expense","","-575.00"
"09/16/2024","CHECKING","0915SUPERNATURAL HTTPSGETSUPERCA************7304","","Entertainment","","-10.96"
"09/16/2024","CHECKING","MOBILE DEPOSIT","","Utilities/Phone","5392.80",""
"09/16/2024","CHECKING","PAYMENT 9100 09/16 ONE APPLE PARK001 ONE APPLE P","","Uncategorized Expense","","-2.99"
"09/13/2024","CHECKING","ALLY ALLY PAYMT240913670921023259WEB","","Transportation/Lease/Loan","","-849.84"
"09/12/2024","CHECKING","0911ATT*BILL PAYME 800-288-2020 TX************7304","","Utilities/TV","","-112.68"
"09/12/2024","CHECKING","PAYMENT 9100 09/12 NETFLIX COM001 NETFLIX COM","","Entertainment","","-25.17"
"09/11/2024","CHECKING","CHECK","2463","Uncategorized Expense","","-48.00"
"09/10/2024","CHECKING","0910Knoxville TVA Employees KNOXVILLE TN","","Uncategorized Expense","","-547.00"
"09/10/2024","CHECKING","ELECTRICFUND BANK DRAFT240910UM393818PPD","","Utilities/Gas/Electric","","-354.07"
"09/06/2024","CHECKING","BLUECROSS BLUESHPAYROLL 24090624090668770PPD","","Medical","2980.24",""
"09/05/2024","CHECKING","0905JP Morgan Chase Bank, N. Phoenix AZ","","Uncategorized Expense","","-2333.06"
"09/04/2024","CHECKING","CHECK","2461","Uncategorized Expense","","-25.00"
"09/04/2024","CHECKING","0903GOOGLE *YouTub g.co/helppay#CA************7304","","Entertainment","","-79.92"
"09/04/2024","CHECKING","MTN LAUREL ASSC INS PREM 24090411011278 DANNYPPD","","Insurance","","-116.92"
"09/03/2024","CHECKING","0903Knoxville TVA Employees KNOXVILLE TN","","Uncategorized Expense","","-478.00"
"09/03/2024","CHECKING","PAYPAL INST XFER 240903SHOPHELPWEB","","Uncategorized Expense","","-124.75"
"09/03/2024","CHECKING","PAYPAL INST XFER 240903BJS RSTRNTSWEB","","Uncategorized Expense","","-55.40"
"08/30/2024","CHECKING","STATE FARM RO 27CPC-CLIENT24083011 J 1991793759PPD","","Insurance","","-402.34"
"08/30/2024","CHECKING","University HealtPR PAYMENT2408302000-000017938PPD","","Education","9301.62",""
"08/29/2024","CHECKING","0828VZWRLSS*APOCC 800-922-0204 FL************7304","","Utilities/Phone","","-262.16"
"08/29/2024","CHECKING","PAYMENT 9100 08/28 ONE APPLE PARK001 ONE APPLE P","","Uncategorized Expense","","-40.33"
"08/28/2024","CHECKING","WITHDRAWAL FROM ATM 0621 08/28 112 S HALL ROAD0621 112 S HALL","","Financial Services/ATM","","-200.00"
"08/27/2024","CHECKING","CHECK","2462","Uncategorized Expense","","-202.00"
"08/27/2024","CHECKING","0827Synchrony Bank Orlando FL","","Financial Services","","-134.00"
"08/26/2024","CHECKING","0824APPLE.COM/BILL 866-712-7753 CA************7304","","Entertainment","","-4.38"
"08/26/2024","CHECKING","0822EMF&K-LOVE 800-525-5683 CA************7304","","Contributions","","-15.00"
"08/23/2024","CHECKING","0822APPLE.COM/BILL 866-712-7753 CA************7304","","Entertainment","","-2.99"
"08/23/2024","CHECKING","BLUECROSS BLUESHPAYROLL 24082324082368770PPD","","Healthcare - HSA Spending Account/Insurance","2980.25",""
"08/22/2024","CHECKING","VENMO PAYMENT 2408221036427828169WEB","","Uncategorized Expense","","-150.00"
"08/21/2024","CHECKING","0820ATMOS ENERGY 888-286-6700 TX************7304","","Utilities/Gas/Electric","","-24.63"
"08/21/2024","CHECKING","MOBILE DEPOSIT","","Utilities/Phone","415.51",""
"08/19/2024","CHECKING","0816APPLE.COM/BILL 866-712-7753 CA************7304","","Entertainment","","-2.99"
"08/19/2024","CHECKING","0816SXM*SIRIUSXM.C 888-635-5144 NY************7304","","Entertainment","","-25.29"
"08/19/2024","CHECKING","PLANET FIT CLUB FEES 2408192422909508641PPD","","Personal Care","","-10.00"
"08/19/2024","CHECKING","PLANET FIT CLUB FEES 2408192422909508021PPD","","Personal Care","","-10.00"
"08/19/2024","CHECKING","PLANET FIT CLUB FEES 2408192422909496963PPD","","Personal Care","","-23.06"
"08/19/2024","CHECKING","CITY OF ALCOA BANK DRAFT240817142032002PPD","","Utilities","","-372.00"
"08/16/2024","CHECKING","0815SUPERNATURAL HTTPSGETSUPERCA************7304","","Entertainment","","-10.96"
